상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-09-05,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-09-05,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-0218,EBS,식사지원 예진," 874,414 ", 2 , 2 , 2 , 2 ," 50,000 ",,,100%,100%,100%," 437,207 ",0.69
2026-09-06,1899-0219,SPOTV,신장질환 세나," 192,500 ", 3 , 2 , 2 , 1 ," 20,000 ",,,100%,67%,50%," 96,250 ",1.25
2026-09-06,1899-0519,SPOTV2,신장질환 세나," 202,632 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-0263,JTBC4,이유식 안부," 198,687 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 198,687 ",0.00
2026-09-06,1899-7319,JTBC4,식사지원 준우_메인," 132,458 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 132,458 ",0.00
2026-09-06,1899-3569,JTBC4,식사지원 준우_아동," 132,458 ", 4 , 2 , 2 , 1 ," 20,000 ",,,100%,50%,50%," 66,229 ",1.81
2026-09-06,1899-7318,JTBC4,식사지원 예진," 198,687 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 198,687 ",0.00
2026-09-06,1899-7325,JTBC4,신장질환 세나," 198,687 ", 6 , 3 , 1 ,,, 2 ," 40,000 ",33%,50%,0%," 66,229 ",0.00
2026-09-06,1899-0762,JTBC4,영유아 정훈," 198,687 ", 6 , 1 ,,,,,,0%,17%,0%," 198,687 ",0.00
2026-09-06,1899-7316,JTBC4,네팔 긴급구호," 132,458 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 132,458 ",2.72
2026-09-06,1899-0795,JTBC4,몽골 아누진," 132,458 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-7326,JTBC2 (SVC),영유아 정훈, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-0776,라이프타임,영유아 정훈," 245,602 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-5186,시네마천국_국내,식사지원 예진," 275,000 ", 11 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-3854,시네마천국_해외,몽골 아누진," 275,000 ", 11 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,1899-7317,빌리어즈TV,식사지원 예진," 203,077 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 203,077 ",1.77
2026-09-06,1899-0739,채널S플러스,식사지원 예진," 366,667 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 366,667 ",0.00
2026-09-06,1899-0217,엠플렉스,식사지원 예진," 366,667 ", 5 , 9 , 6 , 3 ," 70,000 ", 2 ," 120,000 ",67%,180%,50%," 40,741 ",2.29
2026-09-06,1899-2887,리얼TV (SVC),몽골 아누진, - , 3 , 1 ,, 1 ," 10,000 ",,,0%,33%,0%, - ,0.00
2026-09-06,1899-7315,바둑TV,식사지원 예진," 88,283 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-09-06,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
